人体共有多少细胞？细胞一共有多少碱基对？多少个基因？	您好，我想知道人体共有多少细胞？细胞一共有多少个碱基对和基因？
客户采样后多久寄回？	请问客户采样后多久寄回？

客户如何看到我的报告？	我的报告客户如何看到？

多长时间能看到报告？	看到报告需要多长时间？

我的检测信息是完全保密的吗？	您好，请问我的检测信息是完全保密的吗？

你们的检测准不准？	您好，我想知道你们的检测准不准？

你们的检测贵不贵？	您好，我想了解你们的检测贵不贵？

你们的检测到底好不好呀？	您好，我想知道你们的检测到底好不好呀？

基因检测是什么？和传统体检的区别？	什么是基因检测？和传统体检的区别？

基因检测有哪些项目？	有哪些项目是基因检测的？

采样口腔黏膜检测的科学准确吗？	检测采样口腔黏膜的科学准确吗？

疾病风险基因检测有什么用？	基因检测疾病风险有什么用？

基因检测结果可以用于诊断疾病吗？	您好，我想知道基因检测结果可以用于诊断疾病吗？

会侵犯我的隐私吗？	我的隐私会被侵犯吗？

基因检测有多准？	请问基因检测有多准？

检测报告的那些风险数值解释靠谱吗？是怎么出来的？	那些风险数值检测报告的解释是怎么出来的靠谱吗？

检测采样过程是不是很麻烦？	你好，我想了解一下检测采样过程是不是很麻烦？

口腔粘膜采样怎么采？	怎么采口腔粘膜采样？

已经有疾病的人是否一定能检测出疾病风险？原因是什么？	是什么原因已经有疾病的人是否一定能检测出疾病风险？

做过基因检测是否就不用再体检了？	基因检测做过是否就不用再体检了？

检测时患病易感性很低，将来还得这种病怎么解释？	怎么解释检测时患病易感性很低，将来还得这种病？

样品送到实验室会不会变质？	送到实验室后样品会不会变质？

儿童需不需要做疾病易感基因检测？	疾病易感基因检测儿童需不需要做？

青、中年人需不需要做检测？	基因检测青、中年人需不需要做？

老年人需不需要做检测？	基因检测老年人需不需要做?

基因检测需要经常做吗？几年一次？	需要经常做基因检测吗？几年一次？

基因会不会改变？	会不会改变基因？

有的医院也在做基因检测，和你们做的有什么区别？	基因检测医院做的和你们做的有什么区别？

基因检测和肿瘤标志物检查（癌筛）有什么区别？	基因检测和肿瘤标志物检查（癌筛）区别是什么？

