我的账户	101000
什么是支付行号	支付行号又称联行号，是一个地区银行的唯一识别标志。用于人民银行所组织的大额支付系统、小额支付系统、城市商业银行银行汇票系统、全国支票影像系统等跨区域支付业务。
主页人才招聘	关于我行主页人才招聘的问题，请您在招聘页面查看是否有相关部门的联系方式，或者您可以尝试在其他招聘网站看下我行有没有发布相同的招聘信息。
什么是可用余额	可用余额是指借记卡中未冻结部分的余额。
济宁银行的简介	济宁银行，前身为济宁市商业银行，经中国银监会批准，于2006年8月开业，2009年12月更名为济宁银行。感谢您关注我行微信银行，您可在此输入问题咨询我行微信智能客服，或直接拨打我行客服电话400-677-0537进行咨询。
一代身份证能否使用	根据国家法律规定：从2013年1月1日起，停止使用第一代身份证。所有需要持有身份证办理的业务，需要持二代身份证办理。
热线电话号码是多少	我行全国统一服务热线：400-677-0537
代发工资的定义	代发工资是指我行根据与委托单位签订的协议，以转账或现金的方式，将委托单位的职工工资存入职工的活期储蓄存款账户的代理业务。
余额查询的渠道	账户余额可以通过任意一家ATM、我行柜面、电话银行、手机银行、网上银行查询。
我的卡被锁了为什么	借记卡取款密码有5次错误机会，若累计错误次数达到5次将被锁定，锁定后系统不会自动解锁，如若您记得正确密码，请您带本人身份证件到我行任意网办理解锁业务，如若不记得正确密码需本人持本人身份证件到任意我行网点办理密码挂失和密码重置业务。
拨打服务热线的收费标准	拨打400-677-0537我行不会收取任何服务费用，您只需按通话时间向当地通讯公司支付普通市话费。
济宁银行网站的地址	我行唯一的官方网站地址为：www.jn-bank.com
清算中心的电话是多少	我行清算中心的电话为：0537-2216988
个人账户查询密码修改和密码重置的区别	个人账户查询密码修改需要知道原密码才能修改，而查询密码重置是在不知道原密码的情况下，通过验证取款密码来重新设置新的密码。
余额查询	WX0101
明细查询	WX0100
紧急挂失	WX0001
存贷款利率查询	WX0145
汇率查询	WX0145
业务费率查询	WX0145
周边网点	111030
账户绑定	WX0001
解除绑定	WX0001
理财信息	抱歉，该功能尚未开通，敬请期待！
开户行查询	WX0138
银行公告	WX0145
大额预约	WX0142
优惠快讯	WX0145
我要理财	119010|199010|125010|132010|118010|198010
调整默认账号	WX0001
金融信息查询	WX0145
微信投票	抱歉，该功能尚未开通，敬请期待！
转账汇款	102200
他卡余额	抱歉，该功能尚未开通，敬请期待！
生活缴费	您好，登录网上银行，进入用户界面，点击“生活”-“手机充值”，进行查看。
聚一堂	抱歉，该功能尚未开通，敬请期待！
无卡取现	MU0001
特惠商户	LB0102
我的日历	WX0158
微信动账通知签约解约	WX0001
抽奖	WX0159
微信指南	WX0159
取大额现金，需要什么资料	如果您取款超过5万元，需要您提前一天预约，并携带身份证前往支行办理。
取大额现金，是否需要预约	持卡人一次性提取现金人民币5万元（含）以上的，必须至少提前1天向银行网点预约。
我要贷款	您好，您可以到贷款申请页面去做贷款申请，也可直接到网点咨询办理。
火车票查询	WX0159
违章查询	WX0159
快速查询	WX0159
每日天气	WX0159
今日头条	WX0159
网上银行在线客服的作用	您好，使用网上银行遇到问题时，可以咨询在线客服，得到相关的帮助，解答您的疑问。
网上银行如何使用在线客服	您好，使用网上银行在线客服，请您登录网上银行进入个人主页，选择首页页面右下方的在线客服选项，点击进入在线客服页面进行交流。
网上银行留言板有什么作用	你好，如果您有需要反馈的信息，或者有好的建议时，可以通过留言板给我们留言，我们会根据您建议，持续优化我们的网银服务。
网上银行如何进入留言板	您好，网上银行进入留言板，可以点击页面右方的留言板，进行留言，您也可以通过客服中心进入留言板。
网上银行如何查看历史留言及回复	您好，网上银行查看历史留言及回复，通过顶部导航客服中心查看留言板，进行历史留言查看及回复。游客留言暂不支持查阅历史留言。
网上银行如何进行分享	您好，您通过首页下方的分享按钮将我们的网上银行分享给您的朋友；同时，你也可以将我们的理财产品和功能分享给您的朋友，感谢您的支持。
网上银行留言类型都有哪几类	您好，网上银行留言类型有：咨询、建议、投诉、其他。
网上银行搜索功能分为哪几类	您好，网上银行搜索功能目前只支持功能类搜索，您可以通过此功能找到关键词相关的功能。
网上银行搜索功能有什么作用	您好，用户在使用网银的过程中，如果有些功能找不到，或者需要功能相关帮助时，可以使用关键词搜索功能，要查找自己需要的功能。
网上银行怎样进行功能类关键搜索	您好，网上银行功能类搜索，请直接在页面上方的搜索栏输入进行搜索，搜索栏默认为功能类搜索。
网上银行特惠商户有什么作用	您好，网上银行特惠商户，通过在网上银行展示特惠商户信息，为您提供便利。
网上银行如何查看特惠商户	您好，在个人网上银行首页，点击下方的特惠商户查看详情。
网上银行怎么查询特惠商户的详细信息	您好，查询特惠商户详细信息，请您登录进入网上银行，进入特惠商户页面，在特惠商户页面选择类型、城市等，可以查询出商户的详细信息。
网上银行特惠商户详细信息都有哪些	您好，网上银行特惠商户详细信息有：商户名称、联系电话、详细地址、优惠信息详情等。
网上银行特惠商户有地图显示么	您好，网上银行特惠商户地图，请您进入特惠商户页面，选择您想了解的商户，查看详情，可显示商家位置。
网上银行特惠商户的热门商家怎么查看	您好，网上银行特惠商户热门商家查看方法，在个人网上银行首页进入特惠商户页面，可看到热门商家。
网上银行网站地图有什么作用	您好，用户通过网站地图，可以找到个人网上银行所有功能，能展示网银的所有功能，上面放置了网站上需要搜索引擎抓取的所有页面的链接，用户可以通过此功能，方便找到任何一个功能。
网上银行网站地图所有用户都可以使用么	您好，互联网用户、自主注册用户、柜面签约用户，都可查阅网上银行网站地图。
网上银行网站地图怎么查看	您好，查看网上银行网站地图，选择页面顶部导航的帮助，在帮助页面点击网站地图。
网上银行银行公告如何进行查阅	您好，互联网用户、自主注册用户、柜面签约用户，都可查阅我行银行公告，通过首页广告图下方的银行公告会滚动显示，点击可显示详情；同时，您也可以在首页下方点击银行公告进行查阅。
怎么查看常见问题	您好，查询网上银行常见问题，通过顶部导航首页的帮助，进入帮助点击常见问题，选择您想要查询的问题进行查询。
电话缴费	您好，登录网上银行，进入用户界面，点击“生活”-“手机充值”，进行查看。
柜面通合作银行都有哪些	目前您可以在山东省内以及天津、浙江、河北的部分银行办理柜面业务，如咨询具体的网点，建议拨打我行客服热线4006770537。
柜面通业务介绍	柜面通业务是指您持有我行儒商卡，不仅可以在济宁银行网点办理现金存取款业务，还可以在山东省和天津、浙江、河北的部分银行的柜面办理存、取款业务。
积分的查询方式	查询积分有以下几种方式：1.通过我行积分商城查询；2.可以致电4006770537我行客服电话帮助您查询。
什么是积分	儒商卡积分是济宁银行推出一项增值业务，是免费送给您的，您可以使用积分在积分商城兑换商品哦～
积分是怎么来的	积分是根据您的综合用卡情况由系统自动派发赠送的。
积分的使用方法	积分的使用有以下几种方式：1.可以登录积分商城兑换商品；2.可以在济宁贵和太白路店和济宁九龙太白路店使用积分抵现。（兑换成功后会扣除您相应的积分，剩余的积分将继续为您保留。）
积分有效期是多长时间	儒商卡积分目前没有有效期限制，随时使用。
换卡了积分还有吗	如果您的银行卡遗失，原有的积分会给您保留，在您补卡后，原有积分会自动转入您的新卡内。
积分可以兑换什么	在积分商城中您可以使用积分兑换加油卡、体检卡、话费、Q币、实物商品等物品。具体事项您可以登录我行积分商城查询
积分商城怎么登录	积分商城的登录有以下几种方式：1.通过网上银行积分兑换功能登录；2.可以通过我行官网左侧积分商城进入登录。目前仅推荐使用电脑进行登录。
积分兑换加油卡怎么领取	请您在成功提交订单的7个工作日后，携带您的有效身份证原件至您所选择的网点领取积分兑换的加油卡。
积分兑换体检卡怎么领取	请您在成功提交订单的7个工作日后，携带您的有效身份证原件至您所选择的网点领取积分兑换的体检卡。
积分兑换的商品什么时候才能送到	关于商品配送的问题，您可以登录儒意积分商城，查看您的订单信息，如显示“已经发货”，一般会在发货后的5-15日内收到您的礼品。如兑换加油卡、体检卡（自营礼品）需要您在提交订单7个工作日后，携带有效身份证件去您选择的网点领取。
积分兑换的加油卡怎么不能用	因加油卡兑换成功后，需要由油卡归属网点充值，您需再等待3个工作日后才能够使用。并且您需要将加油卡中的金额充值至您所办理的中国石化IC芯片卡内才能够在加油站使用。
积分兑换的商品损坏怎么办	请您在签收积分礼品时打开外包装对商品进行检查，如发现货到即损或货不相符，您可当场拒收并及时联系供应商客服申请更换或保修。如后期使用发现质量问题，您可以联系供应商，在您的礼品签收单左侧，留有礼品供应商的联系电话和地址，如果您有需要，可与礼品供应商进行联络。
积分商城提交的订单怎么取消	您在积分商城的订单一经下单，是无法进行取消的。
积分兑换后长时间没有收到商品怎么办	您可以登录我行儒意积分商城查询当前订单的状态，如果订单状态为“成功”且超过15个工作日还未收到兑换礼品，您可以致电4006-586-286(优讯客服)进行咨询。
积分兑换的商品能代领么	积分兑换的商品是可以代领的。您可以选择指定地址或者其他收货地址后，您或您指定的第三方收货人凭有效证件进行签收即可。
积分不够可以兑换商品么	积分不足是无法兑换您中意的商品的，因积分是没有有效期的，所以您可以等到达到兑换商品分数，再进行兑换。
积分商城礼品供应商的电话是多少	我行积分商城礼品供应商（优讯）的电话为：4006-586-386
积分商城	WX2000
银联在线支付的限额是多少	根据银联要求我行银联在线支付限额为单笔5000元，日累计5000元。
选择银联在线支付需要开通网银吗	您在选择“银联在线-银联卡”支付时是不需要开通网银的。您只需要输入济宁银行儒商卡的卡号、输入您的取款密码、预留手机号码、短信验证码即可支付。
使用银联在线支付可以在哪些网站上进行购物	您可以登录“银联在线支付”官网https://online.unionpay.com查询可以购物的网站。我们可以为您提供几家比较有名网站，例如：12306、京东、苏宁易购、银联在线商城、1号店、东方购物、当当网、南方航空、海南航空、同程网、途牛旅游网、优酷院线等。
通过银联在线-银联卡购物退货时资金如何返还	根据银联规定，您通过“银联在线”支付的订单在取消时，资金将退回您的原支付账户，具体退回时间请咨询购物网站。
我已经开通了银联在线支付功能，还是不能支付	如果您在使用银联在线支付时，提示错误信息：“很抱歉，您的订单未支付成功！失败原因“该银行卡未开通银联在线支付业务（5700000）该卡在银行端已关闭银联在线支付业务”，可能是您在输入账户信息时（输入账号、密码及预留手机号码、短信验证码）连续输入错误3次以上，导致账户状态被锁定，如果您想继续使用银联在线功能则需要由您本人持卡、身份证至我行网点柜面进行解锁处理。
银联在线预留手机号码支付和其他手机号码支付有什么区别	银联在线支付验证手机号码时分为两种形式:1.在支付过程中一般是验证您的银行预留手机号码；2.针对未在银行留存预留手机号码的情况，也可以输入一个常用手机号码进行支付（必须注册银联在线后，在绑定银行卡时，进行设定），但是该支付方式仅是一种临时支付方式，有效期为三个月，并且单日最高限额500元，有效期内累计限额2000元。
银联在线支付时密码输入错误，是否会影响到我其他渠道的支付	银行卡取款密码输入错误次数累计5次，您的账户将会暂时无法使用，需由您本人持卡和有效身份证件到我行任一网点柜面办理解锁。因为银联在线的部分支付方式会在线验证您的银行卡取款密码，如果您输入错误的密码次数过多，将会影响到您的银行卡使用。
使用你们的网银怎么开通银联在线支付	使用我行网银开通银联在线支付只需要登录个人专业版网银选择【银联在线支付】→【银联在线支付设置】，根据提示操作即可。
为什么绑定支付宝时提示手机号码不一致	该手机号码是您在我行第一次开户时预留存的联系方式，不一定是您的短信通知号码。您可以通过到我行网点或者使用我行专业版网银修改您的银行预留号码。
使用支付宝时提示我超限	支付宝限额由支付宝方面统一设置，我行并未对儒商卡的支付做任何限定，具体限额您可以联系支付宝客服中心“95188”进行确认。
怎么在我的支付宝账户中添加儒商卡	支付宝账户添加儒商卡快捷支付的一般流程:1.登录淘宝账号，选择【账号管理】；2.选择【支付宝绑定设置】；3.选择【快捷支付（含卡通）】-【查看】；4.选择【添加银行卡】；5.选择【储蓄卡】，再选择【选择其他银行】；6.在显示的列表里寻找【济宁银行】；7.输入【此卡在银行预留的手机号码】获取校验码。
支付宝银行手机号码怎么修改	银行预留手机号码有两种修改方式：1.如果开通了我行专业版的网上银行，您可以在登录个人网上银行后通过【客户服务】→【个人资料修改】功能修改银行预留号码；2.如果未开通网上银行需要您本人带着身份证和银行卡到我行柜面修改该银行预留号码。
网上银行如何办理	办理企业网上银行您需要携带：1.企业组织机构代码证或同等开户主证件；2.企业经办人身份证、法人授权书（如法人到场办理可不出具）、法人身份证；3.企业相关印鉴以及录入员和授权员的身份证。以上资料均需正本以及各复印件一份。携带以上资料至对公户开户行办理即可。如果办理个人网上银行，1.您可以登录我行主页点击个人网上银行自助注册网银。自助注册的网银目前只能进行余额、交易记录等查询类交易，不可进行转账、汇款等动账类交易。2.您可以携带有效身份证件、儒商卡至柜面办理专业版网银。专业版网银可实现我行网银全部功能。
网上银行的收费标准	目前办理网上银行业务是免费的。并且使用免费，转账同样免除所有手续费哦～
网上银行怎么登录	1.如果您是个人网上银行首次登录，则首先需要选择“卡号/账号登录”输入您的儒商卡号，然后输入您在柜台设定的6位数登录密码即可；如果您是企业网银客户首次登录，则首先需要修改UK密码，然后输入在柜台设定的6位数密码登录修改信息即可；2.如果您是非首次登录，个人客户可根据您的需要选择登录方式输入用户名或卡账号后，输入登录密码即可；企业用户依次输入正确的UK密码和登录密码后即可登录成功。
为什么个人网上银行无法登录	若个人网上银行无法登录：1.提示您“用户名或密码错误”且之前有登录过请您按以下方式尝试解决：核对输入用户名或账号是否正确，并确认登录密码是否正确。若密码忘记可点击登录密码输入栏右侧的“找回密码”重置登录密码；2.若无法自行重置密码需要您本人携带有效身份证件、银行卡至柜面办理找回。
为什么企业网上银行无法登录	如果您的企业网银无法登录，请查看Ukey是否插好，有无正常弹出我行网页，判断UK驱动是否安装，如有疑问请拨打400-677-0537咨询。
为什么网上银行登录密码无法输入	如果您的登录密码无法输入可点击密码输入框后方的“安装安全控件”功能，下载安装完成后，需要您关闭浏览器，重启浏览器后再次登录尝试。
为什么网上银行密码输入后消失了	若输入密码后消失，是因为您输入的密码带有特殊字符。请您在输入时请不要输入*号或#号等特殊字符。
企业网银密码忘记怎么办	企业网银密码分为UK密码和登录密码，密码忘记您需要携带企业组织机构代码证或同等开户主证件、经办人身份证、法人授权书（法人亲自到场可不携带）、法人身份证、企业相关印鉴、另如UK密码忘记还需携带企业网银UK、录入员或授权员的身份证件至您对企业网银开户网点办理。
怎么查询网上银行的开通状态	判断有无开通网上银行有两种方式：1.如果您办理了济宁银行专业版网上银行，柜员会颁发给您一个类似于U盘的设备UK；2.您也可以携带有效身份证件和银行卡至柜面查询。
网银登录中提示：无法显示该网页，提示“此网站的安全证书已过期或尚未生效”怎么回事	如果无法显示网页并提示网站安全证书已过期或尚未生效是由于您电脑系统时间与北京时间不符造成的您可以修改您的电脑系统时间后重启电脑尝试。
个人网银转账输入取款密码，点击确定之后无法弹出UK密码的输入框是怎么回事	如果您点击确定后无法弹出UK密码输入框是因为网上银行进行升级后相应UK控件没有升级到最新版本导致的。您可以通过我行官网下载网银助手进行相应的修复即可；您也可以在网银登录界面点击“工具下载”下载安装相应签名控件即可。
企业网银证书怎么更新	我行网银证书的有效期为两年。在到期前一个月内，请您分别将UKey与电脑连接，然后登录您的企业网上银行，点击“证书管理”-“更新证书”依次进行证书更新、证书下载。若企业网银用户证书到期后，可持企业的相关资料原件（组织机构代码证、营业执照等开户资料，法人代表身份证件、经办人身份证件、授权书、需换发证书操作员的有效身份证件、企业相关印鉴）和USBKey到其网银开户行填写《企业网上银行业务申请表》做证书换发业务。
个人网银怎么加挂账户	个人网银加挂目前分为两种方式：1.您可以登录个人网上银行后，点击“账户管理”-“账户服务”-“账户追加/删除”加挂您的账户。通过该方式加挂的账户无法进行转账等动账类交易。2.您可以携带本人有效身份证、开办专业版网银时的儒商卡、需加挂的儒商卡以及网银UK至柜面加挂。
企业网银怎么加挂账户	企业网银加挂账户需要到企业网银的开户网点办理。需要您携带组织机构代码证、营业执照等开户资料以及法人代表身份证件、经办人身份证件、授权书、操作员、录入员的有效身份证件、企业相关印鉴、企业网银的UK等资料。
什么是网上银行本人账户互转	本人账户互转可为您提供实时签约本人网上银行银行账户间的资金划转。
什么是网上银行行内转账	行内转账是为您提供实时到账的济宁银行内账户的转账。
什么是网上银行跨行转账	跨行转账是使用本行账户转账至他行账户，分为普通和加急两种转账方式，转账5万（不含）以上默认使用加急的转账方式。温馨提示：跨行转账需要知道对方账户的具体开户网点哦~
什么是网上银行跨行快速转账	跨行快速转账是为您提供实时高效的跨行转账业务，但单笔限额必须控制在5万以内。7*24小时随时为您服务。
网上银行如何批量转账	通过批量转账功能可以一次转账多笔行内或行外账户，您可以选择手工录入或文件导入两种方式。1.个人客户操作步骤为“转账汇款-批量转账”；2.企业客户操作步骤为“收付款管理-转账指令管理-批量转账”。
网上银行怎么代发工资	企业网银客户代发工资可以通过“收付款管理-财务支付-代发工资”进入代发工资界面，通过手工录入或文件导入发起代发工资的指令，授权完成后即可完成代发工资。
网上银行怎么预约转账	通过预约转账功能为您提供预约转账的服务，个人客户通过转账汇款-预约转账功能，企业客户通过收付款管理-转账指令管理-预约转账功能；可以设定系统自动转账的指令，到达设定时间由系统自动执行，使您对资金更有规划。您可以通过预约指令管理修改/删除预约的指令。
网上银行转账交易查询可以查什么	通过转账交易查询可以查询绑定网上银行账户转账交易的记录以及转账的状态。您可以点击相应的流水号进行查看或进行电子回单打印。
网上银行如何添加/删除常用收款人	通过收款人名册维护的功能，您可以对您常用的收款人账户进行增加、修改、删除等操作。
网上银行如何缴费支付	您可以登录个人网上银行后，点击“缴费支付”-“自助缴费”进行联通手机号、联通固话号、联通宽带号自助缴费。
什么是网上支付	通过网上支付，您可以使用中国银联的相应付款方式进行网上购物、12306网站购票等一些便捷消费方式。
网上支付怎么使用	网上支付功能需要您签约后使用。您可以登录网上银行后，点击“网上支付”-“网上支付设置”根据提示签约相应儒商卡即可。
个人网银限额如何修改	您可以登录网上银行后，点击“安全中心”-“网银认证方式管理”修改查看您的网上银行限额。
网上银行用户名如何修改	您可以登录个人网上银行后，点击“个人资料”-“用户名”修改查看您的个人网银用户名。
网上银行大额服务时间是多少	我行网上银行大额加急业务服务时间是工作日的上午9点至下午4点。
个人网银如何注销	如果您注销个人网银需要本人携带有效身份证件、银行卡、USBkey至我行柜面办理。如果您只是需要暂停使用网上银行，可以登录网银后点击“安全中心”-“安全设置”-“暂停网银”即可。
企业网银如何注销	企业网银注销需要到您的企业网银开户网点办理。需要您携带组织机构代码证、营业执照等开户资料，以及法人代表身份证件、经办人身份证件、授权书、操作员和录入员账户的有效身份证件、企业相关印鉴等至您的企业网银开户网点办理。
如何打印网上银行电子回单	1.企业网银和个人网银客户均可在我行主页左侧点击电子回单验证的功能，输入电子回单号打印回单。2.或可以登录企业网银后，依次进入“收付款管理”--“电子回单打印”菜单，输入相应查询条件后，页面显示符合条件的转账交易，即可进行电子回单的打印；个人网银可以点击转账汇款-转账交易查询点击流水号打印电子回单。
网上银行电子回单打印异常怎么办	如果电子回单打印异常，您可以尝试清理一下电脑的缓存并重新设置您的打印机，或下载我行网银助手修复电脑后重启电脑再次打印。
个人网银转账限额是多少	个人网银单笔转账限额100万元，日累计转账限额500万元。
企业网银转账限额是多少	企业网银单笔转账限额3000万元，日累计转账限额3000万元。
企业网银公转私限额是多少	企业网银公转私单笔转账限额100万元，日累计转账限额3000万元。
如何注册个人网上银行	在济宁银行门户网站首页上点击“个人网上银行”，进入到个人网上银行登录页面，然后点击“注册”按钮，进入自助注册页面，进行如下操作：1.在线签署《济宁银行股份有限公司电子银行客户服务协议》。2.在线提交如下信息：申请人有效身份证件号码、申请人卡（账号）、设置网上银行初始登录密码、申请人手机号和电子邮箱以及其他所需的资料信息。
个人网上银行大众版和专业版的区别	专业版网上银行需要您本人去我行柜面开通，专业版网银可使用我行为客户提供的全部业务功能。您也可以在我行网站上自助注册网上银行大众版，出于安全考虑，大众版客户只允许使用账户查询、口头挂失，本人账户互转等业务，不能办理跨行转账、缴费支付等业务。
我近期不再使用网上银行，但又不想注销网上银行，该如何办理	您可以通过网上银行自助办理暂停网银服务。
我的个人网银是否可以关联他人账户	为保证您的账户资金安全，网上银行不允许关联他人银行账户，只能关联同一身份证号码下的儒商卡账户。如需向在我行开立的他人账户转账汇款，请您使用行内转账功能。
使用网上银行缴存固话费时，提示“用户档案不存在”	缴存固话费时，提示“用户档案不存在”可能是因为您未输入固话区号造成的。目前我行网上银行仅支持缴存联通固话费，缴存话费时请输入连同区号一起输入，如 “05372887***”。
网上银行通知提醒服务具有什么功能	通知提醒服务是我行推出的网银业务及账户资金变动给予短信提醒的服务，它分为动账短信服务定制和网银短信服务定制，您可以设置动账类短信服务通知和网银短信服务通知业务的签约/解约/修改，为您使用网上银行提供更加安全的保障，使您办理业务更加方便快捷。
在进行网上银行行内同名转账时，无法选择收款账号，怎样处理	1.如果您是个人用户，行内同名转账只可以进行您名下的济宁银行账户间的转账业务，选择不到收款账户是由于您的账户未加挂到网银上造成的。您通过网银上的加挂功能加挂您的账户后即可操作。2.如果您是企业用户，行内同名转账只可以进行您企业的济宁银行账户间的转账业务，选择不到收款账户是由于您的账户未加挂到网银上造成的。您需要到您的开户行加挂您的账户后即可操作。
企业网银操作员录入一笔业务之后如何授权	当操作员录入一笔业务完成后，相关授权员插入自己的USBKey登录企业网银，点击“授权中心——业务分类处理”，点击需要授权的已提交业务进入指令处理界面（此时授权员可点击指令流水号查看指令明细），点击“授权”选择通过或者拒绝。
